name	description	GS.DETAILS	SIZE	ES	NES	pval	padj	FWER	Rank.at.Max	leading.edge.genes
HALLMARK_MITOTIC_SPINDLE%MSIGDBHALLMARK%HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE%MSIGDBHALLMARK%HALLMARK_MITOTIC_SPINDLE	Details	144	0.392527306393082	1.14916331818605	0.193681318681319	0.585606640955199	0	4726	EZR,NF1,LATS1,OPHN1,BIN1,CNTRL,TSC1,MYO1E,TIAM1,PCGF5,LLGL1,DST,CDC42EP4,SSH2,MID1,SPTBN1,FLNB,MARCKS,RICTOR,CAPZB,STAU1,PREX1,ARHGAP5,MAPRE1,DOCK4,SHROOM1,RABGAP1,PPP4R2,ARHGAP27,ALMS1,DYNLL2,PAFAH1B1,AURKA,CLIP2,TUBD1,TLK1,ARFGEF1,STK38L,KATNA1,FGD6,RFC1,LRPPRC,KIF20B,WASF2,DOCK2,CYTH2,RAB3GAP1,BIRC5
HALLMARK_PI3K_AKT_MTOR_SIGNALING%MSIGDBHALLMARK%HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING%MSIGDBHALLMARK%HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details	79	0.536688480975436	1.48496122063523	0.0323943661971831	0.3829476861167	0	4947	GNA14,PIKFYVE,TIAM1,EGFR,DDIT3,PPP2R1B,ITPR2,MYD88,SQSTM1,RAC1,EIF4E,MAP3K7,PRKAA2,LCK,UBE2D3,SFN,CDKN1B,MAPK1,NFKBIB,RALB,VAV3,PLA2G12A,RIT1,TRAF2,PTEN,CAB39,STAT2,ACTR2,CDK4,ACTR3,SMAD2,PLCB1,RPS6KA3,TSC2,GNGT1,AKT1S1,SLA,PRKAG1
HALLMARK_GLYCOLYSIS%MSIGDBHALLMARK%HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS%MSIGDBHALLMARK%HALLMARK_GLYCOLYSIS	Details	148	0.448146424808244	1.31829963784247	0.0637720488466757	0.445496106670154	0	4474	VCAN,PGAM2,RRAGD,P4HA1,MET,SOX9,PLOD2,FKBP4,PLOD1,ADORA2B,ME2,ALDH7A1,EXT2,RBCK1,P4HA2,RPE,EGFR,SRD5A3,NT5E,ZNF292,SDC3,VEGFA,GNPDA1,SDC2,CD44,GPC3,B3GAT3,IL13RA1,CLN6,SLC16A3,PYGL,DDIT4,AURKA,RARS1,SDC1,ECD,PYGB,MIF,AK4,AK3,HS2ST1,ALDOB
HALLMARK_WNT_BETA_CATENIN_SIGNALING%MSIGDBHALLMARK%HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING%MSIGDBHALLMARK%HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details	28	0.417487822676098	0.984389434110338	0.477707006369427	0.734367969459136	0	4000	NOTCH1,PTCH1,RBPJ,HDAC11,MAML1,ADAM17,HDAC2,NUMB
HALLMARK_SPERMATOGENESIS%MSIGDBHALLMARK%HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS%MSIGDBHALLMARK%HALLMARK_SPERMATOGENESIS	Details	94	0.357192585510918	1.00416711081003	0.438957475994513	0.71719400073929	0	3670	SIRT1,ART3,TLE4,GSTM3,NPHP1,PIAS2,CHFR,HSPA4L,TSSK2,RAD17,NF2,SEPTIN4,TEKT2,LPIN1,JAM3,ZC3H14,PGS1,SLC12A2,TSN,AURKA
HALLMARK_G2M_CHECKPOINT%MSIGDBHALLMARK%HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT%MSIGDBHALLMARK%HALLMARK_G2M_CHECKPOINT	Details	139	0.415029137995475	1.21001608340903	0.124309392265193	0.51981464965683	0	5574	HMGN2,TRA2B,SFPQ,STIL,YTHDC1,CCNA2,TLE3,MARCKS,PURA,SLC7A5,SRSF10,CUL4A,RBM14,PRPF4B,CCND1,NSD2,EWSR1,CDKN1B,CASP8AP2,ARID4A,CUL5,NUP50,CBX1,NCL,NOLC1,TFDP1,CTCF,NUP98,SLC12A2,PAFAH1B1,AURKA,RBL1,CDK4,EFNA5,KATNA1,EGF,RAD21,KIF20B,HUS1,BIRC5,SMARCC1,DDX39A,CKS2,CENPE,INCENP,MCM2,HIRA
HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	Details	158	0.392827859738714	1.16517758307597	0.170666666666667	0.558185000595703	0	5473	TRA2B,CCP110,NBN,NOP56,GINS3,PPP1R8,EIF2S1,PAN2,CIT,RNASEH2A,SHMT1,ASF1A,MTHFD2,NUDT21,PPM1D,CDKN1B,SPAG5,USP1,SLBP,PAICS,CDKN2A,NUP205,UNG,RBBP7,SMC6,RAN,NOLC1,DEK,CTCF,RPA1,EED,LYAR,AURKA,PSIP1,PHF5A,CDK4,NUP153,AK2,ANP32E,RFC1,UBR7,DONSON,RAD21,DCTPP1,PNN,HUS1,BIRC5,DDX39A,RAD50,CKS2,KIF18B,ING3,SNRPB,CENPE,RAD51AP1,MCM2
HALLMARK_FATTY_ACID_METABOLISM%MSIGDBHALLMARK%HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM%MSIGDBHALLMARK%HALLMARK_FATTY_ACID_METABOLISM	Details	108	0.29898694932024	0.853726890895901	0.720164609053498	0.828749355231006	0	4674	SUCLG2,G0S2,CRYZ,NBN,HADHB,PCBD1,UROS,CD36,TDO2,ACOT2,HCCS,RETSAT,METAP1,CPOX,LTC4S,AADAT,EPHX1,TP53INP2,FABP1,ALDH3A1,GPD2,ENO3,CA4,MIF,HAO2,SUCLG1,SMS,ADH1C
HALLMARK_HEDGEHOG_SIGNALING%MSIGDBHALLMARK%HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING%MSIGDBHALLMARK%HALLMARK_HEDGEHOG_SIGNALING	Details	27	0.500898306538213	1.17582488568077	0.231884057971014	0.616104284148589	0	2139	NF1,OPHN1,PTCH1,TLE3,NRCAM,SHH,SLIT1,VEGFA
HALLMARK_UV_RESPONSE_DN%MSIGDBHALLMARK%HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN%MSIGDBHALLMARK%HALLMARK_UV_RESPONSE_DN	Details	106	0.338805550445373	0.964005460176816	0.521320495185695	0.750085928258307	0	3933	MET,PHF3,PMP22,YTHDC1,ADD3,ADORA2B,NR3C1,NIPBL,SRI,NR1D2,DYRK1A,DBP,PRDM2,TGFBR3,PLPP3,RGS4,SPOP,CELF2,SIPA1L1,SDC2,SCHIP1,CDKN1B,ATP2C1,CDON,PTEN,AGGF1,ABCC1,MIOS,RXRA
